Movie, Genre, Actor,Actor2,Actor3
Thor: The Dark World,Action,Chris Hemsworth,Piper Mackenzie Harris,Niecy Nash
Mad Max: Fury Road,Action,Tom Hardy,Edgar RamÃ_rez,Lily James
Angels & Demons,Mystery,Tom Hanks,ChloÃ« Grace Moretz,Christopher Lee
Thor,Action,Chris Hemsworth,Jeremy Renner,Sean Harris
Bolt,Adventure,ChloÃ« Grace Moretz,Simon Merrells,Art Malik
G-Force,Action,Kelli Garner,Alexander SkarsgÃ¥rd,Casper Crump
Wrath of the Titans,Action,Liam Neeson,Oprah Winfrey,Rip Torn
Dark Shadows,Comedy,Johnny Depp,Gary Oldman,Mike Bell
Mission: Impossible - Rogue Nation,Action,Tom Cruise,Noah Ringer,Aasif Mandvi
The Wolfman,Drama,Anthony Hopkins,Tom Cruise,Eddie Marsan
The Legend of Tarzan,Action,Christoph Waltz,Jake Weber,Matt Craven
Bee Movie,Adventure,Matthew Broderick,Dan Fogler,Tom Everett Scott
Kung Fu Panda 2,Action,Angelina Jolie Pitt,Kate Winslet,David Suchet
The Last Airbender,Action,Seychelle Gabriel,Cara Delevingne,Nonso Anozie
Mission: Impossible III,Action,Philip Seymour Hoffman,Zach Callison,Karan Brar
White House Down,Action,Channing Tatum,Orlando Bloom,Julian Glover
Mars Needs Moms,Action,Elisabeth Harnois,Martin Short,Cedric the Entertainer
Flushed Away,Adventure,Hugh Jackman,Colin Salmon,Rick Yune
Pan,Adventure,Hugh Jackman,Kate McKinnon,Zach Woods
Mr. Peabody & Sherman,Adventure,Ty Burrell,Steve Buscemi,Will Patton
Troy,Adventure,Brad Pitt,Rosario Dawson,Rip Torn
Madagascar 3: Europe's Most Wanted,Adventure,Jada Pinkett Smith,Anthony Hopkins,Sebastian RochÃ©
Die Another Day,Action,Toby Stephens,Angelina Jolie Pitt,Wayne Knight
Ghostbusters,Action,Ed Begley Jr.,Jeremy Renner,Michael Nyqvist
Armageddon,Action,Bruce Willis,Kamil McFadden,Khamani Griffin
Men in Black II,Action,Will Smith,Richard Burgi,David Herman
Beowulf,Action,Robin Wright,Tony Goldwyn,Chad Lindberg
Kung Fu Panda 3,Action,J.K. Simmons,MarÃ_a Valverde,Ben Mendelsohn
Mission: Impossible - Ghost Protocol,Action,Tom Cruise,Leonard Nimoy,Bruce Greenwood
Rise of the Guardians,Adventure,Hugh Jackman,James Franco,Kirsten Dunst
Fun with Dick and Jane,Comedy,John Michael Higgins,Djimon Hounsou,America Ferrera
The Last Samurai,Action,Tom Cruise,Elodie Yung,Bryan Brown
Exodus: Gods and Kings,Action,Christian Bale,Joe Morton,Richard Roxburgh
Star Trek,Action,Chris Hemsworth,Billy Crudup,Stephen McHattie
Spider-Man,Action,J.K. Simmons,Rene Russo,Darlene Love
How to Train Your Dragon 2,Action,Gerard Butler,Regi Davis,Celia Weston
Gods of Egypt,Action,Gerard Butler,Dwayne Johnson,Elodie Yung
Stealth,Action,Sam Shepard,Rainn Wilson,Delroy Lindo
Watchmen,Action,Matt Frewer,Ming-Na Wen,Jean Simmons
Lethal Weapon 4,Action,Jet Li,Dominic Cooper,Hayley Atwell
Hulk,Action,Kevin Rankin,Maria Grazia Cucinotta,Desmond Llewelyn
G.I. Joe: Retaliation,Action,Channing Tatum,Lee Ingleby,David Threlfall
Sahara,Action,Matthew McConaughey,Kristen Stewart,Taylor Lautner
Final Fantasy: The Spirits Within,Action,Steve Buscemi,Brad Pitt,Common
Captain America: The First Avenger,Action,Chris Evans,Peter Mensah,William Hurt
The World Is Not Enough,Action,Colin Salmon,Philip Michael Thomas,John Diehl
Master and Commander: The Far Side of the World,Action,James D'Arcy,Penelope Wilton,Rafe Spall
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Robert Pattinson,Tom Hardy,Lukas Haas
Happy Feet 2,Animation,Robin Williams,Snoop Dogg,Ben Schwartz
The Incredible Hulk,Action,Ty Burrell,Ray Winstone,Stephen Root
Miami ViceÂ             ,Action,Don Johnson,Annet Mahendru,Andy Richter
The BFG,Adventure,Mark Rylance,Edgar RamÃ_rez,Albert Finney
The Revenant,Adventure,Leonardo DiCaprio,Wayne Knight,Dan Fogler
Turbo,Adventure,Ryan Reynolds,Hayley Atwell,T.I.
Rango,Adventure,Johnny Depp,Josh Hutcherson,Sandra Ellis Lafferty
Penguins of Madagascar,Adventure,Benedict Cumberbatch,Kristen Stewart,Taylor Lautner
The Bourne Ultimatum,Action,Matt Damon,Matt Jones,April Winchell
Kung Fu Panda,Action,Angelina Jolie Pitt,Lisa Ann Walter,Rick Gonzalez
Ant-Man,Action,Judy Greer,Henry Rollins,Jordi MollÃ 
The Hunger Games: Catching Fire,Adventure,Jennifer Lawrence,Constance Marie,Amy Sedaris
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Robert Pattinson,Andre Braugher,August Diehl
Home,Adventure,Jim Parsons,Emma Watson,Logan Lerman
War of the Worlds,Adventure,Tom Cruise,Mackenzie Crook,Tony Curran
Bad Boys II,Action,Will Smith,Gary Oldman,Rupert Grint
Puss in Boots,Action,Salma Hayek,Bryan Brown,Eddie Baroo
Salt,Action,Angelina Jolie Pitt,ZoÃ« Kravitz,Glenn Morshower
Noah,Action,Anthony Hopkins,D.B. Sweeney,Della Reese
The Adventures of Tintin,Action,Toby Jones,Dave Legeno,Ralph Ineson
Harry Potter and the Prisoner of Azkaban,Adventure,Daniel Radcliffe,Rami Malek,Steve Coogan
Australia,Adventure,Essie Davis,Brad Pitt,Will Ferrell
After Earth,Action,Will Smith,Fiona Shaw,Verne Troyer
Dinosaur,Adventure,Alfre Woodard,Jeff Bridges,Stephanie Szostak
Harry Potter and the Deathly Hallows: Part II,Action,Rupert Grint,Shin'ya Tsukamoto,Atsuko Maeda
Night at the Museum: Secret of the Tomb,Adventure,Robin Williams,Orlando Bloom,Jack Davenport
Megamind,Action,J.K. Simmons,Toby Jones,Alfred Enoch
Harry Potter and the Sorcerer's Stone,Adventure,Daniel Radcliffe,Philip Seymour Hoffman,Josh Hutcherson
R.I.P.D.,Action,Ryan Reynolds,Seth Gabel,JÃ_rgen Prochnow
Godzilla Resurgence,Action,Mark Chinnery,Rachel Crow,Jeffrey Garcia
Pirates of the Caribbean: The Curse of the Black Pearl,Action,Johnny Depp,Bruce Davison,Aaron Stanford
Harry Potter and the Deathly Hallows: Part I,Fantasy,Rupert Grint,Vin Diesel,Dwayne Johnson
The Hunger Games: Mockingjay - Part 1,Adventure,Jennifer Lawrence,Eddie Marsan,Paul Anderson
The Da Vinci Code,Mystery,Tom Hanks,Jason Flemyng,Alexa Davalos
Rio 2,Adventure,Miguel Ferrer,Rachel Ticotin,Marshall Bell
X-Men 2,Action,Hugh Jackman,Vladimir Kulich,Clive Russell
Fast Five,Action,Paul Walker,Scott Glenn,Stacy Keach
Sherlock Holmes: A Game of Shadows,Action,Robert Downey Jr.,Vivica A. Fox,John Glover
Clash of the Titans,Action,Liam Neeson,T.J. Thyne,Molly Shannon
Total Recall,Action,Ronny Cox,Dennis Quaid,Sela Ward
The 13th Warrior,Action,Tony Curran,Dougray Scott,Richard Roxburgh
The Bourne Legacy,Action,Jeremy Renner,Mary Elizabeth Mastrantonio,Bob Gunton
Batman & Robin,Action,Michael Gough,Ioan Gruffudd,Andre Braugher
How the Grinch Stole Christmas,Comedy,Clint Howard,Rafe Spall,Tabu
The Day After Tomorrow,Action,Jake Gyllenhaal,Matt Long,Peter Fonda
Mission: Impossible II,Action,Tom Cruise,Riz Ahmed,Ato Essandoh
The Perfect Storm,Action,Karen Allen,Bernie Mac,Justin Theroux
Fantastic 4: Rise of the Silver Surfer,Action,Chris Evans,Charlize Theron,Sean Harris
Life of Pi,Adventure,Suraj Sharma,Brad Garrett,Melanie Griffith
Ghost Rider,Action,Nicolas Cage,Sharlto Copley,Alice Braga
Jason Bourne,Action,Matt Damon,Alexa Davalos,Christina Cox
Charlie's Angels: Full Throttle,Action,Demi Moore,Abbie Cornish,Jennifer Ehle
Prometheus,Adventure,Michael Fassbender,Kick Gurry,Nicholas Elia
Stuart Little 2,Adventure,Nathan Lane,Domenick Lombardozzi,Teyonah Parris
Elysium,Action,Matt Damon,Marc Blucas,Jordi MollÃ 
The Chronicles of Riddick,Action,Vin Diesel,Tom Cruise,ZoÃ« Bell
RoboCop,Action,Gary Oldman,Christopher Lee,Hayden Christensen
Speed Racer,Action,Scott Porter,Christopher Lee,Hayden Christensen
How Do You Know,Comedy,Shelley Conn,John Ratzenberger,James Coburn
Knight and Day,Action,Tom Cruise,Tao Okamoto,Rila Fukushima
Oblivion,Action,Morgan Freeman,Liam Neeson,Ian McDiarmid
Star Wars: Episode III - Revenge of the Sith,Action,Natalie Portman,Emma Stone,Nicolas Cage
Star Wars: Episode II - Attack of the Clones,Action,Natalie Portman,Santiago Segura,Vanessa Hessler
"Monsters, Inc.Â ",Adventure,Steve Buscemi,Roger Willie,Noah Emmerich
The Wolverine,Action,Hugh Jackman,Sam Claflin,Charlize Theron
Star Wars: Episode I - The Phantom Menace,Action,Natalie Portman,Danny Woodburn,Jeremy Howard
The Croods,Adventure,Ryan Reynolds,Basher Savage,Amy Warren
Asterix at the Olympic Games,Adventure,Alain Delon,Grant Heslov,Tzi Ma
Windtalkers,Action,Nicolas Cage,Noel Fisher,Brad Garrett
The Huntsman: Winter's War,Action,Chris Hemsworth,Reg E. Cathey,Tim Heidecker
Teenage Mutant Ninja Turtles,Action,Noel Fisher,Rami Malek,Steve Coogan
Gravity,Adventure,Phaldut Sharma,Ioan Gruffudd,Archie Panjabi
Dante's Peak,Action,Jamie RenÃ©e Smith,Colin Salmon,Joe Don Baker
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,Stephen Amell,Adam Baldwin,Tom Wilkinson
Fantastic Four,Action,Tim Blake Nelson,Julia Roberts,Mini Anden
Night at the Museum,Action,Robin Williams,Angelina Jolie Pitt,Stephanie March
San Andreas,Action,Dwayne Johnson,Theo James,Mekhi Phifer
Tomorrow Never Dies,Action,Vincent Schiavelli,Adam Scott,Frances Conroy
The Patriot,Action,Heath Ledger,Catherine Tate,Olly Alexander
Ocean's Twelve,Crime,Brad Pitt,Tom Wilkinson,Chad L. Coleman
Mr. & Mrs. Smith,Action,Brad Pitt,Dirk Benedict,Dwight Schultz
Insurgent,Adventure,Kate Winslet,Sullivan Stapleton,Peter Mensah
The Aviator,Biography,Leonardo DiCaprio,Tim Gunn,Madison McKinley
Gulliver's Travels,Adventure,James Corden,Roseanne Barr,G.W. Bailey
The Green Hornet,Action,Christoph Waltz,Theo James,ZoÃ« Kravitz
The A-TeamÂ             ,Action,George Peppard,Torey Michael Adkins,Olga Fonda
300: Rise of an Empire,Action,Eva Green,Nancy O'Dell,Vanessa Matsui
The Smurfs,Adventure,Mahadeo Shivraj,Temuera Morrison,Lois Chiles
Home on the Range,Animation,Steve Buscemi,Moises Arias,Aramis Knight
Allegiant,Action,Naomi Watts,Jonathan Sadowski,Cyril Raffaelli
Real Steel,Action,Hugh Jackman,Orlando Bloom,Billy Boyd
The Smurfs 2,Adventure,Jacob Tremblay,Steve Coogan,CÃ©cile De France
Speed 2: Cruise Control,Action,Jason Patric,Jada Pinkett Smith,Joe Morton
Ender's Game,Action,Harrison Ford,Kelly Preston,Spencer Breslin
Live Free or Die Hard,Action,Bruce Willis,Bruce Greenwood,Chi McBride
The Lord of the Rings: The Fellowship of the Ring,Action,Christopher Lee,Orlando Bloom,Philip Glenister
Around the World in 80 Days,Action,Jim Broadbent,Nathan Lane,Jeffrey Jones
Ali,Biography,Will Smith,Jenifer Lewis,Anika Noni Rose
The Cat in the Hat,Adventure,Sean Hayes,Donald Glover,Benedict Wong
"I, RobotÂ ",Action,Will Smith,,
Kingdom of Heaven,Action,Liam Neeson,Steve Buscemi,Djimon Hounsou
Stuart Little,Adventure,Chazz Palminteri,Warren Beatty,Garry Shandling
The Princess and the Frog,Animation,Oprah Winfrey,Angelina Jolie Pitt,Robert Duvall
The Martian,Adventure,Matt Damon,Connie Nielsen,Oliver Reed
"10,000 B.C.Â             ",Comedy,Mathew Buck,Frank Grillo,Jessica Capshaw
The Island,Action,Scarlett Johansson,Rupert Grint,Emma Watson
Town & Country,Comedy,Del Zamora,Tobias Menzies,Ivana Milicevic
Gone in Sixty Seconds,Action,Nicolas Cage,Estella Warren,Erick Avari
Gladiator,Action,Djimon Hounsou,Jenette Goldstein,S. Epatha Merkerson
Minority Report,Action,Tom Cruise,Christian Bale,Stephen Graham
Harry Potter and the Chamber of Secrets,Adventure,Daniel Radcliffe,Ruby Dee,RZA
Casino Royale,Action,Eva Green,Tia Carrere,Tom Arnold
Planet of the Apes,Action,Cary-Hiroyuki Tagawa,Ramon Rodriguez,Michael Rispoli
Terminator 2: Judgment Day,Action,Joe Morton,Blythe Danner,Teri Polo
Public Enemies,Biography,Johnny Depp,Will Ferrell,Derek Jeter
American Gangster,Biography,Denzel Washington,James Coburn,Roma Maffia
True Lies,Action,Jamie Lee Curtis,Christoph Waltz,Ato Essandoh
The Taking of Pelham 1 2 3,Action,Denzel Washington,Jason Alexander,Bill Fagerbakke
Little Fockers,Comedy,Robert De Niro,Wendie Malick,John Fiedler
The Other Guys,Action,Dwayne Johnson,Sylvester Stallone,Bruce Willis
Eraser,Action,Vanessa Williams,Armando Riesco,Annie Parisse
Django Unchained,Drama,Leonardo DiCaprio,Ed Speleers,Gary Lewis
The Hunchback of Notre Dame,Animation,Demi Moore,Ryan Corr,Max Records
The Emperor's New Groove,Adventure,Eartha Kitt,Cara Delevingne,Nonso Anozie
The Expendables 2,Action,Jason Statham,Emma Kenney,Troy Evans
National Treasure,Action,Nicolas Cage,Angelina Jolie Pitt,Rufus Sewell
Eragon,Action,Djimon Hounsou,Mark Margolis,Udo Kier
Where the Wild Things Are,Adventure,Catherine O'Hara,Djimon Hounsou,Stephen Collins
Pan,Adventure,Hugh Jackman,Matthew McConaughey,Jon Favreau
Epic,Adventure,Josh Hutcherson,Rene Auberjonois,Debi Mazar
The Tourist,Action,Johnny Depp,Patrick Muldoon,Seth Gilliam
End of Days,Action,CCH Pounder,Jim Sturgess,Jim Broadbent
Blood Diamond,Adventure,Leonardo DiCaprio,Richard Roxburgh,Anthony LaPaglia
The Wolf of Wall Street,Biography,Leonardo DiCaprio,Christopher Heyerdahl,Alex Borstein
Batman Forever,Action,Michael Gough,Rufus Sewell,Ingrid BolsÃ¸ Berdal
Starship Troopers,Action,Jake Busey,Martin Short,Michael Wincott
Cloud Atlas,Drama,Tom Hanks,Anna Friel,Bobb'e J. Thompson
Legend of the Guardians: The Owls of Ga'Hoole,Action,Abbie Cornish,Sylvester Stallone,Harrison Ford
Catwoman,Action,Frances Conroy,Edgar RamÃ_rez,Delroy Lindo
Hercules,Action,Dwayne Johnson,Traylor Howard,Ben Stein
Treasure Planet,Adventure,Joseph Gordon-Levitt,Benjamin Walker,Frank Dillane
Land of the Lost,Adventure,Will Ferrell,Randy Quaid,Burt Young
The Expendables 3,Action,Jason Statham,Sean Huze,Igal Naor
Point Break,Action,Ray Winstone,Venus Schultheis,Bill Melendez
Son of the Mask,Comedy,Jamie Kennedy,Felicity Huffman,Campbell Scott
In the Heart of the Sea,Action,Chris Hemsworth,Brendan Fraser,Patricia Velasquez
The Adventures of Pluto Nash,Action,Rosario Dawson,Liam Neeson,Jim Broadbent
Green Zone,Action,Matt Damon,Ni Ni,Shigeo Kobayashi
The Peanuts Movie,Adventure,Francesca Capaldi,Zooey Deschanel,Jon Heder
The Spanish Prisoner,Drama,Ben Gazzara,Matthew Broderick,Roger Bart
The Mummy Returns,Action,Dwayne Johnson,Sam Shepard,Ewen Bremner
Gangs of New York,Crime,Leonardo DiCaprio,Thomas Middleditch,Katherine LaNasa
The Flowers of War,Drama,Christian Bale,Bruce Willis,Gary Oldman
Surf's Up,Animation,Jeff Bridges,Liza Minnelli,Kristin Davis
The Stepford Wives,Comedy,Jon Lovitz,Rosie Perez,Elton John
Black Hawk Down,Drama,Ioan Gruffudd,Josh Gad,Drake
The Campaign,Comedy,Will Ferrell,Derek Jacobi,Lily James
The Fifth Element,Action,Milla Jovovich,AJ Michalka,Tom McCarthy
Sex and the City 2,Comedy,Chris Noth,Stephen Root,Brad Garrett
The Road to El Dorado,Adventure,Frank Welker,Billy Boyd,Bernard Hill
Ice Age: Continental Drift,Adventure,Peter Dinklage,Orlando Bloom,Billy Boyd
Cinderella,Drama,Hayley Atwell,Djimon Hounsou,Olivia Williams
The Lovely Bones,Drama,Michael Imperioli,Noah Taylor,Chris Barrie
Finding Nemo,Adventure,Alexander Gould,Morgan Freeman,Clifton Collins Jr.
The Lord of the Rings: The Return of the King,Action,Orlando Bloom,Trevor Morgan,Alessandro Nivola
The Lord of the Rings: The Two Towers,Action,Christopher Lee,David Oyelowo,Tyler Labine
Seventh Son,Action,Jeff Bridges,Tod Fennell,Joan Plowright
Lara Croft: Tomb Raider,Action,Angelina Jolie Pitt,Cole Hauser,Megalyn Echikunwoke
Transcendence,Drama,Johnny Depp,Marc Blucas,Jordi MollÃ 
